date,symbol,action,shares,price,amount_spent,balance_after,status,reason
2025-12-01,AAPL,BUY,3,283.10,854.30,4145.70,SUCCESS,
2025-12-01,TSLA,BUY,2,430.14,865.28,3280.42,SUCCESS,
2025-12-02,AAPL,BUY,3,286.19,863.57,2416.85,SUCCESS,
2025-12-02,TSLA,BUY,2,429.24,863.48,1553.37,SUCCESS,
2025-12-03,AAPL,BUY,3,284.15,857.45,695.92,SUCCESS,
2025-12-03,TSLA,BUY,1,446.74,451.74,244.18,SUCCESS,
2025-12-04,TSLA,BUY,0,454.53,0.00,244.18,FAILED,Budget too low
2025-12-04,GOOG,BUY,0,318.39,0.00,244.18,FAILED,Budget too low
2025-12-05,TSLA,BUY,0,455.00,0.00,244.18,FAILED,Budget too low
2025-12-05,GOOG,BUY,0,322.09,0.00,244.18,FAILED,Budget too low
